Categoria,Ano,Mês,Localidade,Valor Índice
Categoria Desconhecida,2023,06,Brasil,108.74225
Categoria Desconhecida,2023,07,Brasil,114.52253
Categoria Desconhecida,2023,08,Brasil,122.9161
Categoria Desconhecida,2023,09,Brasil,114.5804
Categoria Desconhecida,2023,10,Brasil,119.18202
Categoria Desconhecida,2023,11,Brasil,117.399
Categoria Desconhecida,2023,12,Brasil,114.0503
Categoria Desconhecida,2024,01,Brasil,116.23893
Categoria Desconhecida,2024,02,Brasil,113.32396
Categoria Desconhecida,2024,03,Brasil,116.06433
Categoria Desconhecida,2024,04,Brasil,120.50086
Categoria Desconhecida,2024,05,Brasil,122.31312
Categoria Desconhecida,2024,06,Brasil,117.81686
Categoria Desconhecida,2024,07,Brasil,129.90431
Categoria Desconhecida,2024,08,Brasil,134.28547
Categoria Desconhecida,2024,09,Brasil,125.21002
Categoria Desconhecida,2019,01,Brasil,98.7772
Categoria Desconhecida,2019,02,Brasil,91.78513
Categoria Desconhecida,2019,03,Brasil,93.81056
Categoria Desconhecida,2019,04,Brasil,95.62889
Categoria Desconhecida,2019,05,Brasil,101.77836
Categoria Desconhecida,2019,06,Brasil,90.90734
Categoria Desconhecida,2019,07,Brasil,102.2361
Categoria Desconhecida,2019,08,Brasil,100.93053
Categoria Desconhecida,2019,09,Brasil,94.39632
Categoria Desconhecida,2019,10,Brasil,104.34257
Categoria Desconhecida,2019,11,Brasil,97.59603
Categoria Desconhecida,2019,12,Brasil,95.36644
Categoria Desconhecida,2020,01,Brasil,102.91031
Categoria Desconhecida,2020,02,Brasil,95.19455
Categoria Desconhecida,2020,03,Brasil,105.2576
Categoria Desconhecida,2020,04,Brasil,97.67183
Categoria Desconhecida,2020,05,Brasil,97.27587
Categoria Desconhecida,2020,06,Brasil,95.6449
Categoria Desconhecida,2020,07,Brasil,105.71814
Categoria Desconhecida,2020,08,Brasil,99.65285
Categoria Desconhecida,2020,09,Brasil,100.10695
Categoria Desconhecida,2020,10,Brasil,105.69515
Categoria Desconhecida,2020,11,Brasil,97.85477
Categoria Desconhecida,2020,12,Brasil,102.47881
Categoria Desconhecida,2021,01,Brasil,100.44541
Categoria Desconhecida,2021,02,Brasil,96.06859
Categoria Desconhecida,2021,03,Brasil,109.2313
Categoria Desconhecida,2021,04,Brasil,98.644
Categoria Desconhecida,2021,05,Brasil,98.25796
Categoria Desconhecida,2021,06,Brasil,96.90132
Categoria Desconhecida,2021,07,Brasil,99.59682
Categoria Desconhecida,2021,08,Brasil,98.83034
Categoria Desconhecida,2021,09,Brasil,97.68091
Categoria Desconhecida,2021,10,Brasil,98.42613
Categoria Desconhecida,2021,11,Brasil,98.05701
Categoria Desconhecida,2021,12,Brasil,98.40259
Categoria Desconhecida,2022,01,Brasil,96.24324
Categoria Desconhecida,2022,02,Brasil,95.29845
Categoria Desconhecida,2022,03,Brasil,103.57474
Categoria Desconhecida,2022,04,Brasil,92.25005
Categoria Desconhecida,2022,05,Brasil,102.39396
Categoria Desconhecida,2022,06,Brasil,99.57445
Categoria Desconhecida,2022,07,Brasil,101.54308
Categoria Desconhecida,2022,08,Brasil,105.76347
Categoria Desconhecida,2022,09,Brasil,100.17329
Categoria Desconhecida,2022,10,Brasil,100.39599
Categoria Desconhecida,2022,11,Brasil,98.9002
Categoria Desconhecida,2022,12,Brasil,103.88908
Categoria Desconhecida,2023,01,Brasil,105.16941
Categoria Desconhecida,2023,02,Brasil,94.85938
Categoria Desconhecida,2023,03,Brasil,109.40776
Categoria Desconhecida,2023,04,Brasil,94.71657
Categoria Desconhecida,2023,05,Brasil,106.4513
Categoria Desconhecida,2023,06,Brasil,104.66894
Categoria Desconhecida,2023,07,Brasil,104.69532
Categoria Desconhecida,2023,08,Brasil,110.30338
Categoria Desconhecida,2023,09,Brasil,101.58777
Categoria Desconhecida,2023,10,Brasil,103.02516
Categoria Desconhecida,2023,11,Brasil,98.6368
Categoria Desconhecida,2023,12,Brasil,99.01373
Categoria Desconhecida,2024,01,Brasil,106.27498
Categoria Desconhecida,2024,02,Brasil,101.99225
Categoria Desconhecida,2024,03,Brasil,100.88677
Categoria Desconhecida,2024,04,Brasil,108.07724
Categoria Desconhecida,2024,05,Brasil,107.19439
Categoria Desconhecida,2024,06,Brasil,102.34523
Categoria Desconhecida,2024,07,Brasil,112.17295
Categoria Desconhecida,2024,08,Brasil,108.46319
Categoria Desconhecida,2024,09,Brasil,102.92259
Categoria Desconhecida,2019,01,Brasil,118.90065
Categoria Desconhecida,2019,02,Brasil,108.8462
Categoria Desconhecida,2019,03,Brasil,118.97379
Categoria Desconhecida,2019,04,Brasil,117.71477
Categoria Desconhecida,2019,05,Brasil,120.98059
Categoria Desconhecida,2019,06,Brasil,111.63876
Categoria Desconhecida,2019,07,Brasil,120.18321
Categoria Desconhecida,2019,08,Brasil,122.05148
Categoria Desconhecida,2019,09,Brasil,113.41252
Categoria Desconhecida,2019,10,Brasil,115.75313
Categoria Desconhecida,2019,11,Brasil,98.68219
Categoria Desconhecida,2019,12,Brasil,88.07193
Categoria Desconhecida,2020,01,Brasil,100.75888
Categoria Desconhecida,2020,02,Brasil,94.22496
Categoria Desconhecida,2020,03,Brasil,101.70652
Categoria Desconhecida,2020,04,Brasil,97.89556
Categoria Desconhecida,2020,05,Brasil,102.50797
Categoria Desconhecida,2020,06,Brasil,115.17918
