Categoria,Ano,Mês,Localidade,Valor Índice
 Alimentação,2022,10,Brasil,110.15692
 Alimentação,2022,11,Brasil,104.84647
 Alimentação,2022,12,Brasil,121.41389
 Alimentação,2023,01,Brasil,103.09516
 Alimentação,2023,02,Brasil,93.51748
 Alimentação,2023,03,Brasil,103.45661
 Alimentação,2023,04,Brasil,106.36273
 Alimentação,2023,05,Brasil,109.88829
 Alimentação,2023,06,Brasil,110.17399
 Alimentação,2023,07,Brasil,120.34143
 Alimentação,2023,08,Brasil,107.80234
 Alimentação,2023,09,Brasil,109.05695
 Alimentação,2023,10,Brasil,115.081
 Alimentação,2023,11,Brasil,118.09652
 Alimentação,2023,12,Brasil,138.08545
 Alimentação,2024,01,Brasil,115.47569
 Alimentação,2024,02,Brasil,104.94937
 Alimentação,2024,03,Brasil,116.525
 Alimentação,2024,04,Brasil,111.12577
 Alimentação,2024,05,Brasil,120.95342
 Alimentação,2024,06,Brasil,120.7938
 Alimentação,2024,07,Brasil,129.19688
 Alimentação,2024,08,Brasil,123.23674
 Alimentação,2024,09,Brasil,120.34497
 Alimentação,2020,10,Brasil,73.35983
 Alimentação,2020,11,Brasil,72.34022
 Alimentação,2020,12,Brasil,76.96474
 Alimentação,2021,01,Brasil,75.2318
 Alimentação,2021,02,Brasil,70.29138
 Alimentação,2021,03,Brasil,69.40417
 Alimentação,2021,04,Brasil,67.00397
 Alimentação,2021,05,Brasil,70.96967
 Alimentação,2021,06,Brasil,73.37762
 Alimentação,2021,07,Brasil,79.92377
 Alimentação,2021,08,Brasil,80.70805
 Alimentação,2021,09,Brasil,81.37767
 Alimentação,2021,10,Brasil,86.62
 Alimentação,2021,11,Brasil,90.0301
 Alimentação,2021,12,Brasil,95.91521
 Alimentação,2022,01,Brasil,91.27644
 Alimentação,2022,02,Brasil,83.59338
 Alimentação,2022,03,Brasil,103.33625
 Alimentação,2022,04,Brasil,93.81677
 Alimentação,2022,05,Brasil,93.05433
 Alimentação,2022,06,Brasil,96.14528
 Alimentação,2022,07,Brasil,104.84999
 Alimentação,2022,08,Brasil,99.95219
 Alimentação,2022,09,Brasil,104.29703
 Alimentação,2022,10,Brasil,107.04349
 Alimentação,2022,11,Brasil,109.06607
 Alimentação,2022,12,Brasil,113.5688
 Alimentação,2023,01,Brasil,111.33071
 Alimentação,2023,02,Brasil,92.22131
 Alimentação,2023,03,Brasil,114.10956
 Alimentação,2023,04,Brasil,99.57599
 Alimentação,2023,05,Brasil,103.13606
 Alimentação,2023,06,Brasil,109.41961
 Alimentação,2023,07,Brasil,113.42025
 Alimentação,2023,08,Brasil,107.54978
 Alimentação,2023,09,Brasil,129.89879
 Alimentação,2023,10,Brasil,108.84666
 Alimentação,2023,11,Brasil,118.22808
 Alimentação,2023,12,Brasil,119.12744
 Alimentação,2024,01,Brasil,122.67319
 Alimentação,2024,02,Brasil,106.68426
 Alimentação,2024,03,Brasil,121.88706
 Alimentação,2024,04,Brasil,113.5131
 Alimentação,2024,05,Brasil,110.71005
 Alimentação,2024,06,Brasil,115.6498
 Alimentação,2024,07,Brasil,124.83958
 Alimentação,2024,08,Brasil,119.08241
 Alimentação,2024,09,Brasil,147.60502
 Outros serviços prestados às famílias,2020,10,Brasil,73.35983
 Outros serviços prestados às famílias,2020,11,Brasil,72.34022
 Outros serviços prestados às famílias,2020,12,Brasil,76.96474
 Outros serviços prestados às famílias,2021,01,Brasil,75.2318
 Outros serviços prestados às famílias,2021,02,Brasil,70.29138
 Outros serviços prestados às famílias,2021,03,Brasil,69.40417
 Outros serviços prestados às famílias,2021,04,Brasil,67.00397
 Outros serviços prestados às famílias,2021,05,Brasil,70.96967
 Outros serviços prestados às famílias,2021,06,Brasil,73.37762
 Outros serviços prestados às famílias,2021,07,Brasil,79.92377
 Outros serviços prestados às famílias,2021,08,Brasil,80.70805
 Outros serviços prestados às famílias,2021,09,Brasil,81.37767
 Outros serviços prestados às famílias,2021,10,Brasil,86.62
 Outros serviços prestados às famílias,2021,11,Brasil,90.0301
 Outros serviços prestados às famílias,2021,12,Brasil,95.91521
 Outros serviços prestados às famílias,2022,01,Brasil,91.27644
 Outros serviços prestados às famílias,2022,02,Brasil,83.59338
 Outros serviços prestados às famílias,2022,03,Brasil,103.33625
 Outros serviços prestados às famílias,2022,04,Brasil,93.81677
 Outros serviços prestados às famílias,2022,05,Brasil,93.05433
 Outros serviços prestados às famílias,2022,06,Brasil,96.14528
 Outros serviços prestados às famílias,2022,07,Brasil,104.84999
 Outros serviços prestados às famílias,2022,08,Brasil,99.95219
 Outros serviços prestados às famílias,2022,09,Brasil,104.29703
 Outros serviços prestados às famílias,2022,10,Brasil,107.04349
 Outros serviços prestados às famílias,2022,11,Brasil,109.06607
 Outros serviços prestados às famílias,2022,12,Brasil,113.5688
 Outros serviços prestados às famílias,2023,01,Brasil,111.33071
 Outros serviços prestados às famílias,2023,02,Brasil,92.22131
 Outros serviços prestados às famílias,2023,03,Brasil,114.10956
 Outros serviços prestados às famílias,2023,04,Brasil,99.57599
 Outros serviços prestados às famílias,2023,05,Brasil,103.13606
 Outros serviços prestados às famílias,2023,06,Brasil,109.41961
 Outros serviços prestados às famílias,2023,07,Brasil,113.42025
 Outros serviços prestados às famílias,2023,08,Brasil,107.54978
 Outros serviços prestados às famílias,2023,09,Brasil,129.89879
 Outros serviços prestados às famílias,2023,10,Brasil,108.84666
 Outros serviços prestados às famílias,2023,11,Brasil,118.22808
 Outros serviços prestados às famílias,2023,12,Brasil,119.12744
 Outros serviços prestados às famílias,2024,01,Brasil,122.67319
